id,regiao,categoria,taxa_classe1,taxa_classe2,taxa_classe3,taxa_classe4,taxa_classe5,taxa_classe6,taxa_classe_alvo,validade,segmento,atividade,sub_categoria,tipo,produto,marca,classe
69525,CENTRO NORTE,categoria 1,0.7001116343579656,0.7007273973486439,0.6533845273038092,0.6523903009386188,0.4332233170983454,0.5653497564751802,0.5814045576234558,120,segmento 1,atividade 1,sub_categoria 1,tipo 1,produto 1,marca 1,classe2 
69525,SÃO PAULO INTERIOR,categoria 1,0.6380049950817653,0.6355993175949828,0.6351522962006635,0.6351522962006635,0.6274119943440299,0.6268919525390377,0.6135523484569034,120,segmento 1,atividade 1,sub_categoria 1,tipo 1,produto 1,marca 1,classe1 
72735,NORDESTE,categoria 2,0.8176633206939539,0.8007600249324746,0.8199107235611884,0.8216546073135258,0.7970631103261998,0.7985972496364013,0.8002637648036568,60,segmento 2,atividade 2,sub_categoria 2,tipo 2,produto 2,marca 2,classe4 
72735,SÃO PAULO INTERIOR,categoria 2,0.8048505675242243,0.7860632321114394,0.8271072742748302,0.8271072742748302,0.7584572267865206,0.7570252855786049,0.7869330596484309,60,segmento 2,atividade 2,sub_categoria 2,tipo 2,produto 2,marca 2,classe3 
72735,SÃO PAULO INTERIOR,categoria 2,0.8048505675242243,0.7860632321114394,0.8271072742748302,0.8271072742748302,0.7584572267865206,0.7570252855786049,0.7869330596484309,60,segmento 2,atividade 2,sub_categoria 2,tipo 2,produto 2,marca 2,classe4 
93357,NORDESTE,categoria 3,0.7854242267927973,0.7926187653856456,0.7741882394071824,0.7687909156615238,0.706479270317754,0.7556310574786856,0.7581282800299796,90,segmento 1,atividade 3,sub_categoria 3,tipo 3,produto 3,marca 1,classe2 
93357,SUDESTE,categoria 3,0.7440197919795533,0.7603663054226735,0.7288432300407933,0.7056779237636432,0.6766538496506003,0.7023185268713321,0.7092215608610161,90,segmento 1,atividade 3,sub_categoria 3,tipo 3,produto 3,marca 1,classe2 
93357,SÃO PAULO CAPITAL,categoria 3,0.6707787344094991,0.6676069840636537,0.6705561775509871,0.6671011029160999,0.6513270033128781,0.6374233503239451,0.6461873370109525,90,segmento 1,atividade 3,sub_categoria 3,tipo 3,produto 3,marca 1,classe1 
93357,SÃO PAULO INTERIOR,categoria 3,0.7715796681883184,0.8197566379459456,0.7639578899498811,0.7774441338460805,0.7611612591998562,0.760649781592353,0.7673097874629173,90,segmento 1,atividade 3,sub_categoria 3,tipo 3,produto 3,marca 1,classe2 
93534,CENTRO NORTE,categoria 3,0.8732795535297623,0.890347024148397,0.8815472733544107,0.8777970856741153,0.7043351773146143,0.8263806048974711,0.8320139880003963,90,segmento 1,atividade 3,sub_categoria 3,tipo 3,produto 3,marca 1,classe2 
